10859,"Day, Sharon (I)"
18302,"Guignard, Céline"
17284,"Goldsmith, Laura"
43153,"Serijan, Linda"
45719,"Strathie, Angus"
18268,"Guerrero, Manuel (I)"
18009,"Griffin, Zulema"
48455,"Ughi, Emanuela"
6381,"Burroughs-Rutter, Toni"
865,"Allen, Rebecca (I)"
21145,"Hudson, June"
40204,"Roche-Gordon, Delphine"
39801,"Rider, Janice"
20681,"Holman, Ray (I)"
40796,"Roth, Katherine"
52942,"Zyla, David R."
12535,"Dragojlovich, Zed"
50437,"Warren, Paul (I)"
23896,"Kemper, Florence"
16226,"Garcia-Roddy, Maritza"
4132,"Beverly, Stacy"
16554,"Geels, Simone"
50043,"Wadilie, Lilian"
14797,"Fiorda, Tina"
41270,"Rymer, Theresa"
6494,"Buyse Dian, Catherine"
47116,"Thermann, Gurli"
33604,"Möldner, Astrid"
19090,"Hansmerten, Catrin"
47159,"Thomas, Daniela (II)"
13298,"Einarsdóttir, Margrét"
53020,"Örlygsdóttir, Dýrleif Ýr"
31312,"Melgaard, Mimi"
24342,"King, Danielle (I)"
49040,"Vaquero, Esther"
6794,"Cambier, Frédéric"
10413,"Daddario, Lúcia"
11040,"de Lacerda, Lessa"
8648,"Chávez, Gabriela (I)"
37473,"Pinto, Luisa"
42687,"Schure, Joyce"
5764,"Bronson, Tom"
18366,"Gullett, Jenni"
32288,"Moder, Jyl"
51473,"Wingate, Denise"
26271,"Langbein, Barbara"
29134,"Maier, Juliane"
4134,"Bevins, Michael"
9725,"Coulthard, Susie"
50492,"Waterhouse, Abram"
19850,"Helmi, Bettina"
42544,"Schoepplenberg, Astrid"
30534,"Mayerhofer, Alfred"
27559,"Liddle, George"
44985,"Sperdouklis, Denis"
6718,"Calderón, Carolina"
39990,"Rivera, Martha Leticia"
17174,"Gobea, Alejandra"
48933,"Van Passel, Kristin"
51218,"Willems, Charlotte"
41057,"Ruhm, Jane"
29464,"Mann, Martha (I)"
7994,"Chappelhow, Maggie"
34635,"Nordell, Inez"
5431,"Brannelly-Newman, Lynn"
26534,"Launzel, Danielle"
15210,"Ford, Jamie (I)"
1176,Anda (IV)
45190,"Stanley, Estee"
24546,"Klein, Lloyd"
20123,"Hershberger, Kevin R."
39309,"Register, Sarah (I)"
8701,"Cilliers, Diana"
2422,"Bahmet, Hala"
24188,"Kiatta, Kathy"
23922,"Kennedy, Dianne"
1223,"Anderson, Jane (I)"
46391,"Sánchez, Vicki"
2859,"Bardon, Antonia"
23520,"Karvonides-Dushenko, Chrisi"
14935,"Flake, Linda Carol"
22682,"Johnson, Virginia (II)"
30908,"McKechnie, Karin"
32117,"Mirová, Vera"
21155,"Huelse, Andrea"
34177,"Newhall, Deborah"
46664,"Tanji, Lydia"
9218,"Colón, Rosa J."
37723,"Polcsa, Juliet"
45336,"Stegmeir, Johann"
30801,"McFarland, Maggie"
37769,"Pollatsek, Shura"
1126,"Amos, Dorothy"
50791,"Wells, Ciera"
14213,"Farrell, Peggy (I)"
51018,"White, Samantha E."
13994,"Eyrich, Lou"
26210,"Landau, Natasha"
15785,"Fulton, Jenny (II)"
43450,"Shaughnessy, Moira"
23603,"Katsaras, Jo"
40785,"Roth, Amy (II)"
50197,"Wall-Asse, Marilyn"
49865,"von Mayrhauser, Jennifer"
18618,"Haalmeyer, Juul"
22775,"Jones, Gary (II)"
28117,"Long, William Ivey"
35830,"Palmer, Elizabeth (I)"
4589,"Blane, Sue"
10173,"Cunliffe, Shay"
17714,"Granata, Dona"
40137,"Robinson, Jane (I)"
20938,"Hould-Ward, Ann"
40786,"Roth, Ann (I)"
17892,"Greenwood, Jane (I)"
38891,"Ramsey, Carol (I)"
13205,"Edwards, Sarah (II)"
46802,"Tavernier, Elisabeth"
29373,"Mancini, Tiziana"
4730,"Bocker, Liliana"
31397,"Mendoza, Alejandra (I)"
36690,"Penetre, Dulce Maria"
15037,"Flores Chiquillo, Maibeth"
33054,"Moseres, Fernando"
15234,"Forero, Nelson"
33033,"Mosca, Anabella"
28140,"Lons, Camila"
180,"Aceves, Monica"
31314,"Melgarejo, Mariana"
43862,"Silva, Gladyris"
28603,"Luxton, Justine"
27630,"Lillis, Triona"
36372,"Patta, Eleni"
664,"Alcântara, Marina"
33555,"Myrdal, Pia"
6204,"Bukvic, Ruzica"
14712,"Filipas, Snezana"
21598,"Ilic, Teodora (II)"
19191,"Hargreaves, Patricia"
33480,"Mussenden, Isis"
31697,"Michalek, Susan"
48070,"Trpcic, Shawna"
19288,"Harris, Enid"
19073,"Hansen, Joanne"
26045,"Lai, Alessandro"
41894,"Santiago, Julia Michelle"
8993,"Coen, Eva"
39612,"Rhine, Julie"
37455,"Pink, Dayna"
45846,"Stuckey, Kitty"
28935,"Mada, Radu"
37861,"Popa, Adriana"
40642,"Rosen, Sabrina"
43163,"Serpa, Coca"
51242,"Williams, Dorota"
44634,"Sohlman Wikman, Maria"
4401,"Biscossi, Enrica"
